"Unnamed: 0","annotation_id","annotator","comm_aesthetic","correctness","country_patriotism","created_at","danger_decline","dict_lit","emo_som","error_mention","facts","full_text","id","language","lead_time","ling_element","offensive","other","personal_quality","questions","sarcasm","sentiment","target","threats","updated_at","visual_mocking","word_jokes"
0,576,"1","","","","2025-09-10T13:24:40.863475Z","","","","","","Wróżenie z języka. #polszczyzna Jak Państwo myślą, które sformułowanie wygra?",5100,"yes",129.252,"INVIS","","","","QSUR","","NEU","DIRECT","","2025-09-10T13:30:40.658161Z","",""
1,577,"1","","","","2025-09-10T13:31:21.324480Z","","","","","","Kto bardziej zdrabnia? Ziemniaczki, kartofelki, kebabik, pieniążki, kochanieńki. #polszczyzna",5101,"yes",55.494,"{""choices"":[""PHEN"",""WORD""]}","","","","QSUR","","NEU","NO","","2025-09-10T13:32:14.943008Z","",""
3,578,"1","","","","2025-09-10T13:34:06.243101Z","","","","","FACT","Kiedyś mówiło się ""wziąć na klatę"", dziś popularne jest ""trzeba ustać"". Lubię przyglądać się, jak zmienia się #polszczyzna",5102,"yes",107.76,"WORD","","","","","","POS","NO","","2025-09-10T13:34:06.243135Z","",""
4,579,"1","","","","2025-09-10T13:46:22.465426Z","","","","","","Używanie formy ""półtorej roku"" (""półtorej tysiąca"" itp.) powinno być zagrożone karą chłosty!#polszczyzna",5103,"yes",23.194,"WORD","","","","","","NEG","NO","CONS","2025-09-10T13:46:22.465462Z","",""
5,580,"1","","COR","","2025-09-10T13:47:00.533209Z","","","","","","Czy forma NA DNIACH ‘niedługo, w najbliższych dniach’ wydaje się Państwu nietypowa? #polszczyzna",5104,"yes",36.153,"WORD","","","","QSUR","","NEU","DIRECT","","2025-09-10T13:47:00.533237Z","",""
6,581,"1","","","","2025-09-10T13:47:50.799295Z","","","","","FACT","Śliczne lato, piękna łąka. #polszczyzna Rusałka admirał na kwiatku… i skrzydełkami powiewa.",5105,"yes",47.209,"WORD","","","","","","POS","NO","","2025-09-10T13:47:50.799325Z","",""
8,582,"1","","","PATR","2025-09-10T13:49:00.547816Z","","","","","","Jak Polacy w Polsce wymawiają UFC? #polszczyzna i cudzoziem(sz)czyzna",5106,"yes",67.249,"WORD","","","","QSUR","","NEU","MENTION","","2025-09-10T13:49:00.547849Z","",""
9,583,"1","AEST","","","2025-09-10T13:49:40.651012Z","","","","","","Mili Państwo, mam kłopot z precyzją opisu znaczenia i jego wysłowienia. #polszczyzna ROZGOGOLONA osoba jest:",5107,"yes",38.002,"WORD","","","","QSUR","","NEU","DIRECT","","2025-09-10T13:49:40.651042Z","",""
11,584,"1","","","","2025-09-10T14:28:57.611149Z","","","","","","Jest nagroda poetycka im. Wisławy Szymborskiej dla Antoniny Tosiek, autorki tomu „Żertwa”. Słowo dawne i ciekawe. #polszczyzna Ale i afera jest, bo już któryś raz w ciągu ostatnich kilku lat pojawia się PODMIOTKA (liryczna): Podmiotka tych wierszy trwa przy bliskich chorych…",5108,"yes",2354.606,"WORD","","","QUAL","","","NEG","MENTION","CONS","2025-09-10T14:28:57.611179Z","",""
12,585,"1","","","","2025-09-10T14:30:28.494242Z","","","ESOM","","","Czy używają Państwo nowych, nietypowych słów zakończonych na -oza, nazywających jakieś niepożądane zjawiska? A może przeciwnie – któreś z tych słów i cała maniera ich tworzenia Państwa denerwuje? Bardzo proszę o rankingi i komentarze. #polszczyzna",5109,"yes",85.851,"PHEN","","","","QSUR","","NEU","DIRECT","","2025-09-10T14:30:28.494273Z","",""
13,586,"1","","COR","","2025-09-10T14:31:45.446481Z","","","","","","Ile lat mija od roku 1905? 120. Której rocznicy ówczesnej rewolucji nie obchodzimy? #polszczyzna #historia",5110,"yes",98.53999999999999,"{""choices"":[""WORD"",""INVIS""]}","","","","QSUR","","NEU","NO","","2025-09-10T17:57:45.899818Z","",""
14,587,"1","","COR","","2025-09-10T14:34:09.474259Z","DCLN","","","","","""Zaobserwuj po więcej""... Toż to jakiś językowy nowotwór złośliwy. Inchoatywność plus ""po coś..."". Panie @użytkownik #polszczyzna, jak Pan z tym żyje?",5111,"yes",141.634,"WORD","","","","","","NEG","{""choices"":[""DIRECT"",""MENTION""]}","CONS","2025-09-10T14:34:09.474286Z","",""
15,588,"1","","","","2025-09-10T14:34:37.993460Z","","","","","","Testowo pytam. #frazeologia #polszczyzna Gdy ktoś opowiada o rzeczach mało prawdopodobnych, lecz spektakularnych, to są to CUDA NA...",5112,"yes",26.782,"WORD","","","","QSUR","","NEU","NO","","2025-09-10T14:34:37.993490Z","",""
